,Country code,Country,Region,Subregion,Population 2017,"Estimate of firearms in civilian possession","Estimate of Computation civilian firearms method per 100 persons",Method of computation,Registered firearms,Unregistered firearms
133,MEX,Mexico,Americas,Central America,130223000.0,16809000,12.9,2.0,3118592.0,13690408.0
134,FSM,"Micronesia, Fed. Sts.",Oceania,Micronesia,106000.0,700,0.7,2.0,,
135,MDA,"Moldova, Republic of",Europe,Eastern Europe,4055000.0,121000,3.0,2.0,54663.0,66337.0
136,MCO,Monaco,Europe,Western Europe,38000.0,7000,19.6,3.0,,
137,MNG,Mongolia,Asia,Eastern Asia,3052000.0,242000,7.9,3.0,46982.0,195018.0
138,MNE,Montenegro,Europe,Southern Europe,626000.0,245000,39.1,3.0,103536.0,141464.0
139,MSR,Montserrat,Americas,Caribbean,5000.0,300,5.4,3.0,,
140,MAR,Morocco,Africa,Northern Africa,35241000.0,1690000,4.8,2.0,,
141,MOZ,Mozambique,Africa,Eastern Africa,29538000.0,1337000,4.5,2.0,7000.0,1330000.0
142,MMR,Myanmar,Asia,South-eastern Asia,54836000.0,877000,1.6,3.0,,
143,NAM,Namibia,Africa,Southern Africa,2569000.0,396000,15.4,2.0,200010.0,195990.0
144,NRU,Nauru,Oceania,Melanesia,10000.0,-,0.0,2.0,,
145,NPL,Nepal,Asia,Southern Asia,29187000.0,444000,1.5,2.0,34315.0,409685.0
146,NLD,Netherlands,Europe,Western Europe,17033000.0,442000,2.6,1.0,205347.0,236653.0
147,NCL,New Caledonia,Oceania,Melanesia,270000.0,115000,42.5,2.0,55000.0,60000.0
148,NZL,New Zealand,Oceania,Australia/New Zealand,4605000.0,1212000,26.3,2.0,1200000.0,12000.0
149,NIC,Nicaragua,Americas,Central America,6218000.0,323000,5.2,2.0,142260.0,180740.0
150,NER,Niger,Africa,Western Africa,21564000.0,117000,0.5,2.0,2000.0,115000.0
151,NGA,Nigeria,Africa,Western Africa,191836000.0,6154000,3.2,2.0,,
152,NIR,Northern Ireland,Europe,Northern Ireland,1873000.0,206000,11.0,1.0,153000.0,53000.0
153,MNP,Northern Mariana Islands,Oceania,Micronesia,56000.0,1000,2.6,2.0,,
154,NOR,Norway,Europe,Northern Europe,5331000.0,1537000,28.8,2.0,1254638.0,282362.0
155,OMN,Oman,Asia,Western Asia,4741000.0,792000,16.7,3.0,,
156,PAK,Pakistan,Asia,Southern Asia,196744000.0,43917000,22.3,2.0,6000000.0,37917000.0
157,PLW,Palau,Oceania,Melanesia,22000.0,100,0.5,2.0,,
158,PSE,Palestinian Territories,Asia,Western Asia,4952000.0,56000,1.1,2.0,,
159,PAN,Panama,Americas,Central America,4051000.0,436000,10.8,2.0,180000.0,256000.0
160,PNG,Papua New Guinea,Oceania,Melanesia,7934000.0,79000,1.0,2.0,27043.0,51957.0
161,PRY,Paraguay,Americas,South America,6812000.0,1140000,16.7,2.0,392000.0,748000.0
162,PER,Peru,Americas,South America,32166000.0,633000,2.0,2.0,365845.0,267155.0
163,PHL,Philippines,Asia,South-eastern Asia,103797000.0,3776000,3.6,2.0,1739000.0,2037000.0
164,POL,Poland,Europe,Eastern Europe,38564000.0,968000,2.5,1.0,380000.0,588000.0
165,PRT,Portugal,Europe,Southern Europe,10265000.0,2186000,21.3,1.0,1400000.0,786000.0
166,PRI,Puerto Rico,Americas,Caribbean,3679000.0,422000,11.5,2.0,,
167,PNT,Puntland,Africa,Eastern Africa,1995000.0,246000,12.3,2.0,,
168,QAT,Qatar,Asia,Western Asia,2338000.0,390000,16.7,3.0,,
169,REU,Réunion,Africa,Eastern Africa,873000.0,171000,19.6,3.0,,
170,ROU,Romania,Europe,Eastern Europe,19238000.0,506000,2.6,2.0,210000.0,296000.0
171,RUS,Russian Federation,Europe,Eastern Europe,143375000.0,17620000,12.3,2.0,6600000.0,11020000.0
172,RWA,Rwanda,Africa,Eastern Africa,12160000.0,66000,0.5,2.0,,
173,KNA,Saint Kitts and Nevis,Americas,Caribbean,57000.0,2000,3.4,3.0,,
174,LCA,Saint Lucia,Americas,Caribbean,188000.0,6000,3.4,3.0,,
175,MAF,Saint Martin (France),Americas,Caribbean,32000.0,3000,8.5,3.0,,
176,VCT,Saint Vincent and the Grenadines,Americas,Caribbean,110000.0,4000,3.4,3.0,2865.0,1135.0
177,WSM,Samoa,Oceania,Polynesia,196000.0,20000,10.1,2.0,4000.0,16000.0
178,SMR,San Marino,Europe,Southern Europe,32000.0,5000,14.4,3.0,,
179,STP,São Tomé and Principe,Africa,Middle Africa,198000.0,7000,3.4,3.0,,
180,SAU,Saudi Arabia,Asia,Western Asia,32743000.0,5468000,16.7,3.0,,
181,SCO,Scotland,Europe,Northern Europe,5436000.0,305000,5.6,1.0,187000.0,118000.0
182,SEN,Senegal,Africa,Western Africa,16054000.0,323000,2.0,2.0,7053.0,315947.0
183,SRB,Serbia,Europe,Southern Europe,6946000.0,2719000,39.1,2.0,1186086.0,1532914.0
184,SYC,Seychelles,Africa,Eastern Africa,98000.0,4000,4.1,2.0,,
185,SLE,Sierra Leone,Africa,Western Africa,6733000.0,35000,0.5,2.0,,
186,SGP,Singapore,Asia,South-eastern Asia,5785000.0,20000,0.3,3.0,795.0,19205.0
187,SXM,Sint Maarten (Netherlands),Americas,Caribbean,40000.0,2000,4.2,3.0,,
188,SVK,Slovakia,Europe,Eastern Europe,5432000.0,355000,6.5,2.0,280000.0,75000.0
189,SVN,Slovenia,Europe,Southern Europe,2071000.0,324000,15.6,1.0,127094.0,196906.0
190,SLB,Solomon Islands,Oceania,Melanesia,606000.0,1000,0.2,2.0,,
191,SOM,Somalia (South Central),Africa,Eastern Africa,9225000.0,1145000,12.4,2.0,,
192,SLD,Somaliland,Africa,Eastern Africa,3823000.0,456000,11.9,2.0,,
193,ZAF,South Africa,Africa,Southern Africa,55436000.0,5351000,9.7,2.0,3000000.0,2351000.0
194,SSD,South Sudan,Africa,Eastern Africa,13096000.0,1255000,9.6,2.0,,
195,ESP,Spain,Europe,Southern Europe,46070000.0,3464000,7.5,1.0,2683542.0,780458.0
196,LKA,Sri Lanka,Asia,Southern Asia,20905000.0,494000,2.4,2.0,35000.0,459000.0
197,SDN,Sudan,Africa,Northern Africa,42166000.0,2768000,6.6,2.0,6724.0,2761276.0
198,SUR,Suriname,Americas,South America,552000.0,88000,15.9,2.0,30000.0,58000.0
199,SWZ,Swaziland,Africa,Southern Africa,1320000.0,64000,4.8,3.0,10000.0,54000.0
200,SWE,Sweden,Europe,Northern Europe,9921000.0,2296000,23.1,1.0,1955478.0,340522.0
201,CHE,Switzerland,Europe,Western Europe,8454000.0,2332000,27.6,2.0,791719.0,1540281.0
202,SYR,Syrian Arab Republic,Asia,Western Asia,18907000.0,1547000,8.2,2.0,,
203,TWN,Taiwan (Rep. of China),Asia,Eastern Asia,23405000.0,10000,0.0,2.0,5000.0,5000.0
204,TJK,Tajikistan,Asia,Central Asia,8858000.0,37000,0.4,2.0,9863.0,27137.0
205,TZA,"Tanzania, United Republic of",Africa,Eastern Africa,56878000.0,427000,0.8,2.0,115850.0,311150.0
206,THA,Thailand,Asia,South-eastern Asia,68298000.0,10342000,15.1,2.0,6221180.0,4120820.0
207,TLS,Timor-Leste (East Timor),Asia,South-eastern Asia,1237000.0,3000,0.3,2.0,,
208,TGO,Togo,Africa,Western Africa,7692000.0,58000,0.8,2.0,10000.0,48000.0
209,TON,Tonga,Oceania,Polynesia,108000.0,9000,8.0,2.0,,
210,TTO,Trinidad and Tobago,Americas,Caribbean,1369000.0,43000,3.2,2.0,10550.0,32450.0
211,TUN,Tunisia,Africa,Northern Africa,11495000.0,123000,1.1,3.0,3408.0,119592.0
212,TUR,Turkey,Asia,Western Asia,80418000.0,13249000,16.5,2.0,2500000.0,10749000.0
