ISO,Country,Continent,Subregion,Population,Estimate of firearms in civilian possession,Registered firearms,Unregistered firearms,Total law enforcement firearms,Total military firearms
REU,Réunion,Africa,Eastern Africa,873000.0,171000,,,2000,
ROU,Romania,Europe,Eastern Europe,19238000.0,506000,210000.0,296000.0,251000,240180
RUS,Russian Federation,Europe,Eastern Europe,143375000.0,17620000,6600000.0,11020000.0,2432000,30272900
RWA,Rwanda,Africa,Eastern Africa,12160000.0,66000,,,14000,66500
SAU,Saudi Arabia,Asia,Western Asia,32743000.0,5468000,,,214000,481350
SCO,Scotland,Europe,Northern Europe,5436000.0,305000,187000.0,118000.0,2000,
SDN,Sudan,Africa,Northern Africa,42166000.0,2768000,6724.0,2761276.0,129000,590170
SEN,Senegal,Africa,Western Africa,16054000.0,323000,7053.0,315947.0,6000,16320
SGP,Singapore,Asia,South-eastern Asia,5785000.0,20000,795.0,19205.0,9000,574140
SLB,Solomon Islands,Oceania,Melanesia,606000.0,1000,,,70,
SLD,Somaliland,Africa,Eastern Africa,3823000.0,456000,,,4000,23750
SLE,Sierra Leone,Africa,Western Africa,6733000.0,35000,,,12000,10200
SLV,El Salvador,Americas,Central America,6167000.0,737000,344587.0,392413.0,30000,127840
SMR,San Marino,Europe,Southern Europe,32000.0,5000,,,300,
SOM,Somalia,Africa,Eastern Africa,9225000.0,1145000,,,8000,37620
SOM,Somalia (South Central),Africa,Eastern Africa,9225000.0,1145000,,,8000,37620
SRB,Serbia,Europe,Southern Europe,6946000.0,2719000,1186086.0,1532914.0,53100,384422
SSD,South Sudan,Africa,Eastern Africa,13096000.0,1255000,,,42000,
STP,São Tomé and Principe,Africa,Middle Africa,198000.0,7000,,,200,570
SUR,Suriname,Americas,South America,552000.0,88000,30000.0,58000.0,2000,
SVK,Slovakia,Europe,Eastern Europe,5432000.0,355000,280000.0,75000.0,43000,33150
SVN,Slovenia,Europe,Southern Europe,2071000.0,324000,127094.0,196906.0,13000,131686
SWE,Sweden,Europe,Northern Europe,9921000.0,2296000,1955478.0,340522.0,38000,
SWZ,Swaziland,Africa,Southern Africa,1320000.0,64000,10000.0,54000.0,4000,
SXM,Sint Maarten (Netherlands),Americas,Caribbean,40000.0,2000,,,300,
SYC,Seychelles,Africa,Eastern Africa,98000.0,4000,,,200,798
SYR,Syrian Arab Republic,Asia,Western Asia,18907000.0,1547000,,,124000,
TCA,Turks and Caicos Islands,Americas,Caribbean,35000.0,1000,300.0,700.0,100,
TCD,Chad,Africa,Middle Africa,14965000.0,151000,,,34000,25020
TGO,Togo,Africa,Western Africa,7692000.0,58000,10000.0,48000.0,5000,
THA,Thailand,Asia,South-eastern Asia,68298000.0,10342000,6221180.0,4120820.0,230000,
TJK,Tajikistan,Asia,Central Asia,8858000.0,37000,9863.0,27137.0,9000,
TKM,Turkmenistan,Asia,Central Asia,5503000.0,23000,,,27000,184700
TLS,Timor-Leste (East Timor),Asia,South-eastern Asia,1237000.0,3000,,,4000,
TON,Tonga,Oceania,Polynesia,108000.0,9000,,,200,
TTO,Trinidad and Tobago,Americas,Caribbean,1369000.0,43000,10550.0,32450.0,9000,
TUN,Tunisia,Africa,Northern Africa,11495000.0,123000,3408.0,119592.0,73000,68020
TUR,Turkey,Asia,Western Asia,80418000.0,13249000,2500000.0,10749000.0,620000,1390180
TUV,Tuvalu,Oceania,Polynesia,10000.0,100,50.0,50.0,26,
TWN,Taiwan (Rep. of China),Asia,Eastern Asia,23405000.0,10000,5000.0,5000.0,76000,
TZA,"Tanzania, United Republic of",Africa,Eastern Africa,56878000.0,427000,115850.0,311150.0,37000,190050
UGA,Uganda,Africa,Eastern Africa,41653000.0,331000,21156.0,309844.0,54000,116660
UKR,Ukraine,Europe,Eastern Europe,44405000.0,4396000,800000.0,3596000.0,289000,6600000
URY,Uruguay,Americas,South America,3457000.0,1198000,605313.0,592687.0,30000,62130
USA,United States of America,Americas,Northern America,326474000.0,393347000,1073743.0,392273257.0,1016000,4535380
UZB,Uzbekistan,Asia,Central Asia,30691000.0,127000,,,150000,268400
VAT,Holy See,Europe,Southern Europe,1000.0,-,,,200,
VCT,Saint Vincent and the Grenadines,Americas,Caribbean,110000.0,4000,2865.0,1135.0,1000,
VEN,"Venezuela, Bolivarian Republic of",Americas,South America,31926000.0,5895000,,,173000,353300
VGB,Virgin Islands (U.K.),Americas,Caribbean,31000.0,300,48.0,252.0,500,
VGB,Virgin Islands (U.K.),Americas,,31000.0,300,48.0,252.0,500,
VIR,Virgin Islands (U.S.),Americas,Caribbean,107000.0,18000,,,300,
VNM,Vietnam,Asia,South-eastern Asia,95415000.0,1562000,,,285000,
VUT,Vanuatu,Oceania,Melanesia,276000.0,11000,4700.0,6300.0,350,
WSM,Samoa,Oceania,Polynesia,196000.0,20000,4000.0,16000.0,400,
XKS,Kosovo,Europe,Southern Europe,1831000.0,436000,43206.0,392794.0,21000,
YEM,Yemen,Asia,Western Asia,28120000.0,14859000,,,-,28500
ZAF,South Africa,Africa,Southern Africa,55436000.0,5351000,3000000.0,2351000.0,250481,350636
ZMB,Zambia,Africa,Eastern Africa,17238000.0,158000,86642.0,71358.0,16000,41040
ZWE,Zimbabwe,Africa,Eastern Africa,16338000.0,455000,190685.0,264315.0,23000,91580
