ISO,Country,Continent,Subregion,Year,Population,Estimate of firearms in civilian possession,Total law enforcement firearms,Total military firearms,"Estimate of firearms in civilian possession per 1,000","Total law enforcement firearms per 1,000","Total military firearms per 1,000",Total Homicides,Total Sexual and Violent Crime Counts,"Total Homicides per 1,000","Total Sexual and Violent Crime Rates per 1,000",Country GDP,"Country GDP per 1,000","Combined Crime Rate per 1,000","Total Firearms per 1,000"
KEN,Kenya,Africa,Sub-Saharan Africa,2018,48467000.0,750000,51527,45790.0,15.47444653062909,1.0631357418449667,0.9447665421833413,76808,32053,1.5847483854994118,0.6613365795283388,92202979985.0,1902386.7783233952,2.246084965027751,17.482348814657396
MLT,Malta,Europe,Southern Europe,2018,421000.0,119000,1637,5547.0,282.6603325415677,3.888361045130641,13.175771971496436,341,832,0.8099762470308789,1.9762470308788598,16153779511.0,38370022.59144893,2.7862232779097384,299.72446555819477
MEX,Mexico,Americas,Latin America and the Caribbean,2018,130223000.0,16809000,591000,895285.0,129.07858058868248,4.538368798138578,6.875014398378167,1261691,235238,9.688695545333774,1.8064243643595985,1256300000000.0,9647297.328428926,11.495119909693372,140.49196378519923
MNG,Mongolia,Asia,Eastern Asia,2018,3052000.0,242000,7000,323400.0,79.29226736566186,2.293577981651376,105.96330275229359,10362,2634,3.395150720838794,0.863040629095675,13178094720.0,4317855.412844037,4.258191349934469,187.54914809960684
MNE,Montenegro,Europe,Southern Europe,2018,626000.0,245000,8000,5396.0,391.3738019169329,12.779552715654951,8.619808306709265,499,231,0.7971246006389776,0.3690095846645367,5506942238.0,8797032.329073483,1.1661341853035143,412.77316293929715
MAR,Morocco,Africa,Northern Africa,2018,35241000.0,1690000,91000,588020.0,47.955506370420814,2.5822195737918903,16.685678612979203,10280,122302,0.29170568372066624,3.470446355097755,127341000000.0,3613433.2169915726,3.7621520388184213,67.22340455719191
MMR,Myanmar,Asia,South-eastern Asia,2018,54836000.0,877000,76000,788900.0,15.993143190604714,1.38595083521774,14.386534393464148,7478,12338,0.13637026770734553,0.22499817638047998,67860515990.0,1237517.6159822014,0.36136844408782554,31.7656284192866
NAM,Namibia,Africa,Sub-Saharan Africa,2018,2569000.0,396000,15000,11880.0,154.1455819384975,5.838847800700662,4.624367458154924,2634,13834,1.025301673803036,5.3849746983261975,13682019076.0,5325815.132736473,6.410276372129234,164.60879719735306
NLD,Netherlands (Kingdom of the),Europe,Western Europe,2018,17033000.0,442000,96000,108676.0,25.949627194269947,5.636118123642341,6.380320554218282,4382,18848,0.2572653085187577,1.106557858275113,929734000000.0,54584277.57881758,1.3638231667938707,37.96606587213057
NZL,New Zealand,Oceania,Australia and New Zealand,2018,4605000.0,1212000,13000,38280.0,263.19218241042347,2.823018458197611,8.31270358306189,823,86362,0.17871878393051033,18.753963083604777,211847000000.0,46003691.639522254,18.932681867535287,274.32790445168297
NIC,Nicaragua,Americas,Latin America and the Caribbean,2018,6218000.0,323000,8590,261800.0,51.94596333226117,1.3814731424895466,42.10357027983274,9717,4258,1.562721132196848,0.6847861048568672,13025234821.0,2094762.7566741717,2.247507237053715,95.43100675458345
NOR,Norway,Europe,Northern Europe,2018,5331000.0,1537000,13000,188646.0,288.31363721628213,2.4385668730069407,35.38660664040518,1552,28406,0.29112736822359786,5.328456199587319,439789000000.0,82496529.73175764,5.619583567810917,326.1388107296942
OMN,Oman,Asia,Western Asia,2018,4741000.0,792000,31000,118360.0,167.05336426914153,6.538704914574985,24.965197215777263,671,532,0.14153132250580047,0.11221261337270619,91505851756.0,19300960.083526682,0.25374393587850663,198.55726639949378
PAK,Pakistan,Asia,Southern Asia,2018,196744000.0,43917000,944000,2315480.0,223.21900540804293,4.798113284267881,11.768999308746391,15386,59673,0.07820314723701866,0.3033027690806327,356128000000.0,1810108.5674785508,0.38150591631765135,239.78611800105722
PRY,Paraguay,Americas,Latin America and the Caribbean,2018,6812000.0,1140000,21000,235780.0,167.35173223722842,3.0827950675278917,34.612448620082205,8718,11761,1.2798003523194361,1.72651203758074,40225448341.0,5905086.36832061,3.006312389900176,205.0469759248385
PER,Peru,Americas,Latin America and the Caribbean,2018,32166000.0,633000,142000,473400.0,19.679164335012125,4.414599266306037,14.717403469501958,82679,47059,2.5703848784430767,1.4630044145992662,222597000000.0,6920257.414661444,4.033389293042343,38.81116707082012
PHL,Philippines,Asia,South-eastern Asia,2018,103797000.0,3776000,139043,454700.0,36.37870073316184,1.33956665414222,4.380666107883658,64521,12242,0.6216075609121651,0.11794175168839176,346842000000.0,3341541.6630538455,0.7395493126005568,42.098933495187715
POL,Poland,Europe,Eastern Europe,2018,38564000.0,968000,188000,307200.0,25.101130588113264,4.875012965460015,7.965978632921896,6233,52830,0.16162742454102272,1.369930505134322,594617000000.0,15418965.87490924,1.5315579296753448,37.942122186495176
PRT,Portugal,Europe,Southern Europe,2018,10265000.0,2186000,89000,333640.0,212.95664880662446,8.670238675109594,32.5026790063322,1645,5994,0.1602532878714077,0.5839259620068192,242093000000.0,23584315.63565514,0.7441792498782269,254.12956648806625
KOR,Republic of Korea,Asia,Eastern Asia,2018,50705000.0,79000,115000,2688020.0,1.5580317522926734,2.26802090523617,53.01291785819939,3012,76538,0.05940242579627256,1.5094763829997042,1725370000000.0,34027610.689281136,1.5688788087959769,56.83897051572823
MDA,Republic of Moldova,Europe,Eastern Europe,2018,4055000.0,121000,21000,98600.0,29.839704069050555,5.178791615289765,24.31565967940814,2641,1554,0.6512946979038224,0.3832305795314427,11252353421.0,2774933.026140567,1.0345252774352651,59.334155363748465
ROU,Romania,Europe,Eastern Europe,2018,19238000.0,506000,251000,240180.0,26.30211040648716,13.047094292546003,12.484665765672109,3076,6300,0.15989188065287452,0.3274768686973698,243469000000.0,12655629.483314274,0.4873687493502443,51.83387046470527
RUS,Russian Federation,Europe,Eastern Europe,2018,143375000.0,17620000,2432000,30272900.0,122.89450741063644,16.96251089799477,211.14489973844815,191009,58477,1.3322336530078465,0.40786050566695725,1657330000000.0,11559407.14908457,1.7400941586748038,351.00191804707936
SAU,Saudi Arabia,Asia,Western Asia,2018,32743000.0,5468000,214000,481350.0,166.9975261888037,6.535748098830284,14.700852090523165,1702,10389,0.05198057600097731,0.3172891915829338,846584000000.0,25855419.478972606,0.3692697675839111,188.23412637815716
SRB,Serbia,Europe,Southern Europe,2018,6946000.0,2719000,53100,384422.0,391.44831557731067,7.644687589979845,55.34437086092715,5214,8514,0.7506478548805068,1.2257414339188022,52787520249.0,7599700.582925425,1.976389288799309,454.4373740282177
SGP,Singapore,Asia,South-eastern Asia,2018,5785000.0,20000,9000,574140.0,3.4572169403630078,1.5557476231633536,99.24632670700088,353,3515,0.06101987899740709,0.6076058772687987,376893000000.0,65150043.21521176,0.6686257562662058,104.25929127052724
SVK,Slovakia,Europe,Eastern Europe,2018,5432000.0,355000,43000,33150.0,65.35346097201767,7.916053019145802,6.102724594992636,3066,8128,0.5644329896907216,1.496318114874816,106612000000.0,19626656.84830633,2.0607511045655373,79.37223858615612
SVN,Slovenia,Europe,Southern Europe,2018,2071000.0,324000,13000,131686.0,156.44616127474652,6.277160791887977,63.58570738773539,448,3675,0.21632061805890873,1.7745050700144858,53689067640.0,25924223.87252535,1.9908256880733946,226.3090294543699
ESP,Spain,Europe,Southern Europe,2018,46070000.0,3464000,264196,333660.0,75.18992836987192,5.734664640764055,7.242457130453658,20144,96162,0.43724766659431297,2.087301931842848,1431640000000.0,31075320.164966356,2.5245495984371606,88.16705014108963
LKA,Sri Lanka,Asia,Southern Asia,2018,20905000.0,494000,134000,509700.0,23.63071035637407,6.409949772781631,24.381726859602963,24556,8370,1.1746472135852666,0.4003826835685243,94493871201.0,4520156.479359005,1.5750298971537908,54.42238698875866
PSE,State of Palestine,Asia,Western Asia,2018,4928000.0,56000,33000,44410.0,11.363636363636363,6.696428571428571,9.011769480519481,518,1732,0.10511363636363637,0.3514610389610389,16276600000.0,3302881.4935064935,0.45657467532467527,27.07183441558442
TUR,Türkiye,Asia,Western Asia,2018,80418000.0,13249000,620000,1390180.0,164.75167251112936,7.709716730085304,17.286925812629015,360307,7530,4.480427267527171,0.09363575318958442,778972000000.0,9686537.839787113,4.574063020716755,189.74831505384367
UKR,Ukraine,Europe,Eastern Europe,2018,44405000.0,4396000,289000,6600000.0,98.99786060128365,6.508276095034343,148.6319108208535,3968,4530,0.08935930638441617,0.10201553879067672,130891000000.0,2947663.551401869,0.1913748451750929,254.13804751717151
USA,United States of America,Americas,Northern America,2018,326474000.0,393347000,1016000,4535380.0,1204.8340756078585,3.1120395498569566,13.89200977719512,771001,955034,2.3616000049008496,2.925298798679221,20656500000000.0,63271500.94647659,5.286898803580071,1221.8381249349106
URY,Uruguay,Americas,Latin America and the Caribbean,2018,3457000.0,1198000,30000,62130.0,346.5432455886607,8.678044547295341,17.972230257448654,24488,4204,7.083598495805612,1.2160833092276542,65344576348.0,18902104.815736186,8.299681805033266,373.19352039340464
UZB,Uzbekistan,Asia,Central Asia,2018,30691000.0,127000,150000,268400.0,4.138020918184484,4.8874262813202565,8.745234759375712,20277,1490,0.6606822847088722,0.048548434394447885,58695899092.0,1912479.198853084,0.7092307191033201,17.770681958880452
VEN,Venezuela (Bolivarian Republic of),Americas,Latin America and the Caribbean,2018,31926000.0,5895000,173000,353300.0,184.6457432813381,5.418780930902712,11.066215623629644,6843,5505,0.21433940988535988,0.17242999436196202,102021000000.0,3195545.9500093968,0.38676940424732187,201.13073983587043
