,Country Code,Country,Region,Subregion,Population,Total military firearms,Computation method
147,SLE,Sierra Leone,Africa,Western Africa,6733000,10200,2
148,SGP,Singapore,Asia,South-eastern Asia,5785000,574140,2
149,SVK,Slovakia,Europe,Eastern Europe,5432000,33150,2
150,SVN,Slovenia,Europe,Southern Europe,2071000,131686,1
151,SOM,Somalia,Africa,Eastern Africa,9225000,37620,2
152,SLD,Somaliland,Africa,Eastern Africa,3823000,23750,2
153,ZAF,South Africa,Africa,Southern Africa,55436000,350636,1
154,ESP,Spain,Europe,Southern Europe,46070000,333660,2
155,LKA,Sri Lanka,Asia,Southern Asia,20905000,509700,2
156,SDN,Sudan,Africa,Northern Africa,42166000,590170,1
157,Country,Country,Region,Subregion,Population,,Computation method
158,SSD,South Sudan,Africa,Eastern Africa,13096000,,2
159,SUR,Suriname,Americas,South America,552000,,2
160,SWZ,Swaziland,Africa,Southern Africa,1320000,,2
161,SWE,Sweden,Europe,Northern Europe,9921000,,2
162,CHE,Switzerland,Europe,Western Europe,8454000,,1
163,SYR,Syrian Arab Republic,Asia,Western Asia,18907000,,2
164,TWN,Taiwan (Rep. of China),Asia,Eastern Asia,23405000,,2
165,TJK,Tajikistan,Asia,Central Asia,8858000,,2
166,THA,Thailand,Asia,South-eastern Asia,68298000,,2
167,MKD,"Macedonia, Former Yugoslav Republic of",Europe,Southern Europe,2083000,,2
168,TLS,Timor-Leste (East Timor),Asia,South-eastern Asia,1237000,,2
169,TGO,Togo,Africa,Western Africa,7692000,,1
170,TTO,Trinidad and Tobago,Americas,Caribbean,1369000,,2
171,Country,Country,Region,Subregion,Population,Total military,Computation method
172,TUN,Tunisia,Africa,Northern Africa,11495000,68020,2
173,TUR,Turkey,Asia,Western Asia,80418000,1390180,2
174,TKM,Turkmenistan,Asia,Central Asia,5503000,184700,2
175,ARE,United Arab Emirates,Asia,Western Asia,9398000,163800,2
176,UGA,Uganda,Africa,Eastern Africa,41653000,116660,2
177,UKR,Ukraine,Europe,Eastern Europe,44405000,6600000,1
178,GBR,United Kingdom,Europe,Northern Europe,65511000,539680,2
179,TZA,"Tanzania, United Republic of",Africa,Eastern Africa,56878000,190050,2
180,USA,United States of America,Americas,Northern America,326474000,4535380,1
181,URY,Uruguay,Americas,South America,3457000,62130,2
182,UZB,Uzbekistan,Asia,Central Asia,30691000,268400,2
183,VEN,"Venezuela, Bolivarian Republic of",Americas,South America,31926000,353300,2
184,YEM,Yemen,Asia,Western Asia,28120000,28500,2
185,ZMB,Zambia,Africa,Eastern Africa,17238000,41040,2
186,ZWE,Zimbabwe,Africa,Eastern Africa,16338000,91580,2
