,ISO,Country,Continent,Subregion,Population,Active Personel,Total firearms,Computation method
293,PAN,Panama,Americas,Central America,4051000,22852,30000,2.0
297,PNG,Papua New Guinea,Oceania,Melanesia,7934000,4800,4800,1.0
298,PRY,Paraguay,Americas,South America,6812000,16233,21000,2.0
299,PER,Peru,Americas,South America,32166000,109611,142000,2.0
300,PHL,Philippines,Asia,South-eastern Asia,103797000,149333,139043,1.0
301,POL,Poland,Europe,Eastern Europe,38564000,98892,188000,2.0
302,PRT,Portugal,Europe,Southern Europe,10265000,46852,89000,2.0
305,PRI,Puerto Rico,Americas,Caribbean,3679000,17000,26000,2.0
306,PNT,Puntland State of Somalia,Africa,Eastern Africa,1995000,6500,8000,2.0
307,ISO,Country,Continent,Subregion,Population,Active,Law,
315,QAT,Qatar,Asia,Western Asia,2338000,3471,5000,2.0
316,REU,Réunion,Africa,Eastern Africa,873000,1630,2000,3.0
317,ROU,Romania,Europe,Eastern Europe,19238000,132202,251000,2.0
321,RUS,Russian Federation,Europe,Eastern Europe,143375000,1280000,2432000,2.0
323,RWA,Rwanda,Africa,Eastern Africa,12160000,10562,14000,2.0
324,KNA,Saint Kitts and Nevis,Americas,Caribbean,57000,450,600,2.0
325,LCA,Saint Lucia,Americas,Caribbean,188000,831,1000,2.0
326,MAF,Saint Martin (France),Americas,Caribbean,32000,100,100,3.0
327,VCT,Saint Vincent and the Grenadines,Americas,Caribbean,110000,854,1000,2.0
328,WSM,Samoa,Oceania,Polynesia,196000,500,400,2.0
329,SMR,San Marino,Europe,Southern Europe,32000,160,300,2.0
330,STP,São Tomé and Principe,Africa,Middle Africa,198000,176,200,2.0
331,SAU,Saudi Arabia,Asia,Western Asia,32743000,142594,214000,3.0
333,SCO,Scotland,Europe,Northern Europe,5436000,17234,2000,2.0
334,SEN,Senegal,Africa,Western Africa,16054000,5000,6000,2.0
336,SRB,Serbia,Europe,Southern Europe,6946000,42426,53100,1.0
337,SYC,Seychelles,Africa,Eastern Africa,98000,182,200,3.0
338,SLE,Sierra Leone,Africa,Western Africa,6733000,9707,12000,2.0
339,SGP,Singapore,Asia,South-eastern Asia,5785000,9400,9000,2.0
340,SXM,Sint Maarten (Netherlands),Americas,Caribbean,40000,180,300,2.0
341,SVK,Slovakia,Europe,Eastern Europe,5432000,22401,43000,2.0
342,SVN,Slovenia,Europe,Southern Europe,2071000,6827,13000,2.0
343,SLB,Solomon Islands,Oceania,Melanesia,606000,1153,70,1.0
344,SOM,Somalia (South Central),Africa,Eastern Africa,9225000,6862,8000,2.0
345,SLD,Somaliland,Africa,Eastern Africa,3823000,3000,4000,2.0
346,ZAF,South Africa,Africa,Southern Africa,55436000,150513,250481,1.0
347,SSD,South Sudan,Africa,Eastern Africa,13096000,35000,42000,2.0
350,ESP,Spain,Europe,Southern Europe,46070000,169821,264196,1.0
354,LKA,Sri Lanka,Asia,Southern Asia,20905000,89000,134000,2.0
355,ISO,Country,Continent,Subregion,Population,Active,Law,
361,SDN,Sudan,Africa,Northern Africa,42166000,110000,129000,2.0
364,SUR,Suriname,Americas,South America,552000,1567,2000,2.0
365,SWZ,Swaziland,Africa,Southern Africa,1320000,2937,4000,2.0
366,SWE,Sweden,Europe,Northern Europe,9921000,19903,38000,2.0
369,CHE,Switzerland,Europe,Western Europe,8454000,18150,34000,2.0
370,SYR,Syrian Arab Republic,Asia,Western Asia,18907000,82340,124000,3.0
372,TWN,Taiwan (Rep. of China),Asia,Eastern Asia,23405000,75517,76000,2.0
373,TJK,Tajikistan,Asia,Central Asia,8858000,6300,9000,2.0
374,THA,Thailand,Asia,South-eastern Asia,68298000,230000,230000,2.0
375,MKD,"Macedonia, Former Yugoslav Republic of",Europe,Southern Europe,2083000,10792,21000,2.0
376,TLS,Timor-Leste (East Timor),Asia,South-eastern Asia,1237000,3701,4000,3.0
377,TGO,Togo,Africa,Western Africa,7692000,4000,5000,2.0
378,TON,Tonga,Oceania,Polynesia,108000,202,200,3.0
379,TTO,Trinidad and Tobago,Americas,Caribbean,1369000,6605,9000,2.0
380,TUN,Tunisia,Africa,Northern Africa,11495000,61000,73000,2.0
383,TUR,Turkey,Asia,Western Asia,80418000,413527,620000,2.0
386,TKM,Turkmenistan,Asia,Central Asia,5503000,17971,27000,3.0
387,TCA,Turks and Caicos Islands,Americas,Caribbean,35000,101,100,3.0
388,TUV,Tuvalu,Oceania,Polynesia,10000,74,26,1.0
389,UGA,Uganda,Africa,Eastern Africa,41653000,45059,54000,2.0
390,UKR,Ukraine,Europe,Eastern Europe,44405000,152000,289000,2.0
392,ARE,United Arab Emirates,Asia,Western Asia,9398000,27500,41000,2.0
395,TZA,"Tanzania, United Republic of",Africa,Eastern Africa,56878000,45487,37000,1.0
396,USA,United States of America,Americas,Northern America,326474000,652936,1016000,2.0
405,ISO,Country,Continent,Subregion,Population,Active,Law,
413,URY,Uruguay,Americas,South America,3457000,23220,30000,2.0
414,UZB,Uzbekistan,Asia,Central Asia,30691000,100237,150000,3.0
416,VUT,Vanuatu,Oceania,Melanesia,276000,550,350,1.0
417,VEN,"Venezuela, Bolivarian Republic of",Americas,South America,31926000,133000,173000,2.0
423,VNM,Vietnam,Asia,South-eastern Asia,95415000,285385,285000,3.0
425,VGB,Virgin Islands (U.K.),Americas,,31000,253,500,2.0
426,VIR,Virgin Islands (U.S.),Americas,Caribbean,107000,221,300,3.0
427,YEM,Yemen,Asia,Western Asia,28120000,-,-,4.0
429,ZMB,Zambia,Africa,Eastern Africa,17238000,13000,16000,2.0
430,ZWE,Zimbabwe,Africa,Eastern Africa,16338000,19500,23000,2.0
