,Country Code,Country,Region,Subregion,Population,Category,Undefined,Total military firearms,Firearms in subcategories,Computation method
268,NLD,Netherlands,Europe,Western Europe,17033000,,"country total
all active military",108676,92066,2
271,NZL,New Zealand,Oceania,Australia/New Zealand,4605000,,"country total
all active military",38280,28080,2
273,NIC,Nicaragua,Americas,Central America,6218000,,"country total
all active military",261800,136800,2
275,NER,Niger,Africa,Western Africa,21564000,,"country total
all active military",11110,6360,2
277,NGA,Nigeria,Africa,Western Africa,191836000,,all active military,224200,,2
278,NOR,Norway,Europe,Northern Europe,5331000,,"all active and reserve military
all active (minus Central Support)",188646,44070,1
281,OMN,Oman,Asia,Western Asia,4741000,,"country total
all active military",118360,110760,2
283,PAK,Pakistan,Asia,Southern Asia,196744000,,"country total
all active military",2315480,1699880,2
285,PSE,Palestinian Territories,Asia,Western Asia,4928000,,country total,44410,,2
287,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
289,PRY,Paraguay,Americas,South America,6812000,,"country total
all active military",235780,38380,2
291,PER,Peru,Americas,South America,32166000,,"country total
all active military",473400,237500,2
295,PHL,Philippines,Asia,South-eastern Asia,103797000,,"country total
all active military",454700,237500,2
299,POL,Poland,Europe,Eastern Europe,38564000,,"country total
all active military",307200,273000,2
301,PRT,Portugal,Europe,Southern Europe,10265000,,"country total
all active military",333640,79300,2
303,PNT,Puntland State of Somalia,Africa,Eastern Africa,1995000,,all active military,3600,,2
304,QAT,Qatar,Asia,Western Asia,2338000,,all active military,30680,,2
305,ROU,Romania,Europe,Eastern Europe,19238000,,"country total
all active military",240180,180180,2
307,RUS,Russian Federation,Europe,Eastern Europe,143375000,,"country total
all active military",30272900,5020800,2
311,RWA,Rwanda,Africa,Eastern Africa,12160000,,"country total
all active military",66500,62700,2
313,STP,São Tomé and Principe,Africa,Middle Africa,198000,,country total,570,,2
314,SAU,Saudi Arabia,Asia,Western Asia,32743000,,country total,481350,,2
315,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
322,SEN,Senegal,Africa,Western Africa,16054000,,all active military,16320,,2
323,SRB,Serbia,Europe,Southern Europe,6946000,,"country total
all active military",384422,73190,1
325,SYC,Seychelles,Africa,Eastern Africa,98000,,all active military,798,,2
326,SLE,Sierra Leone,Africa,Western Africa,6733000,,all active military,10200,,2
327,SGP,Singapore,Asia,South-eastern Asia,5785000,,"country total
all active military",574140,188500,2
330,SVK,Slovakia,Europe,Eastern Europe,5432000,,all active military,33150,,2
331,SVN,Slovenia,Europe,Southern Europe,2071000,,all active and reserve military,131686,18850,1
333,SOM,Somalia,Africa,Eastern Africa,9225000,,all active military,37620,,2
334,SLD,Somaliland,Africa,Eastern Africa,3823000,,all active military,23750,,2
335,ZAF,South Africa,Africa,Southern Africa,55436000,,"all active and reserve military
all active military",350636,126065,1
337,ESP,Spain,Europe,Southern Europe,46070000,,"country total
all active military",333660,315120,2
339,LKA,Sri Lanka,Asia,Southern Asia,20905000,,"country total
all active military",509700,461700,2
344,SDN,Sudan,Africa,Northern Africa,42166000,,"country total
all active military",590170,464170,1
346,Country,Country,Region,Subregion,Population,,Category                                              Total military,,Firearms in sub-,Computation method
348,SSD,South Sudan,Africa,Eastern Africa,13096000,,"all active military                                            351,500",,,2
349,SUR,Suriname,Americas,South America,552000,,"country total                                                      5,985
all active military",,5795,2
351,SWZ,Swaziland,Africa,Southern Africa,1320000,,"all active military                                                5,700",,,2
352,SWE,Sweden,Europe,Northern Europe,9921000,,"country total                                                   139,180
active military service personnel",,77350,2
356,CHE,Switzerland,Europe,Western Europe,8454000,,"all active and reserve military                        324,484",,54470,1
358,SYR,Syrian Arab Republic,Asia,Western Asia,18907000,,"country total                                                   655,500
all active military, Syrian state",,370500,2
360,TWN,Taiwan (Rep. of China),Asia,Eastern Asia,23405000,,"country total                                                2,022,150
all active military",,1149200,2
363,TJK,Tajikistan,Asia,Central Asia,8858000,,"country total                                                     56,490
reserve forces",,42240,2
365,THA,Thailand,Asia,South-eastern Asia,68298000,,"country total                                                1,052,815
all active military",,685615,2
370,MKD,"Macedonia, Former Yugoslav Republic of",Europe,Southern Europe,2083000,,"country total                                                     29,530
all active military",,20800,2
372,TLS,Timor-Leste (East Timor),Asia,South-eastern Asia,1237000,,"all active military                                                2,527",,,2
373,TGO,Togo,Africa,Western Africa,7692000,,"all active military                                              12,850",,,1
374,TTO,Trinidad and Tobago,Americas,Caribbean,1369000,,"all active military                                                7,695",,,2
375,Country,Country,Region,Subregion,Population,,Category,Total military,Firearms in sub-,Computation method
377,TUN,Tunisia,Africa,Northern Africa,11495000,,all active military,68020,,2
378,TUR,Turkey,Asia,Western Asia,80418000,,"country total
all active military",1390180,923520,2
381,TKM,Turkmenistan,Asia,Central Asia,5503000,,"country total
all active military",184700,175200,2
383,ARE,United Arab Emirates,Asia,Western Asia,9398000,,all active military,163800,,2
384,UGA,Uganda,Africa,Eastern Africa,41653000,,"country total
all active military",116660,114000,2
386,UKR,Ukraine,Europe,Eastern Europe,44405000,,"country total
all active military",6600000,530400,1
390,GBR,United Kingdom,Europe,Northern Europe,65511000,,"country total
all active military",539680,390910,2
392,TZA,"Tanzania, United Republic of",Africa,Eastern Africa,56878000,,"country total
all active military",190050,94050,2
394,USA,United States of America,Americas,Northern America,326474000,,"country total
all active military",4535380,3505840,1
396,URY,Uruguay,Americas,South America,3457000,,"country total
all active military",62130,60610,2
399,UZB,Uzbekistan,Asia,Central Asia,30691000,,"country total
all active military",268400,230400,2
401,VEN,"Venezuela, Bolivarian Republic of",Americas,South America,31926000,,"country total
all active military",353300,233700,2
408,YEM,Yemen,Asia,Western Asia,28120000,,"country total
all active military",28500,-,2
410,ZMB,Zambia,Africa,Eastern Africa,17238000,,all active military,41040,,2
411,ZWE,Zimbabwe,Africa,Eastern Africa,16338000,,all active military,91580,,2
